username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
donnantwich;2016-06-15 21:55;0;1;"We told them to tackle the problem. They called us racist and xenophobic. They have lost the privilege. # brexit";;;#;"743169966178893824";https://twitter.com/donnantwich/status/743169966178893824
tcgriffin;2016-06-15 21:51;2;2;"McGinn agrees with Kinahan that brexit would mean internal UK border. Surprised at DUP position.";;;;"743169097618329600";https://twitter.com/tcgriffin/status/743169097618329600
BobDuffield;2016-06-15 21:51;1;2;"@ iVoteLeave Oh Feck! That didn't go well. Looking forward to QT - he could drum up even more # Brexit votes than Eddie Izzard!";;@;#;"743168981658329090";https://twitter.com/BobDuffield/status/743168981658329090
ThomsonKate11;2016-06-15 21:39;0;0;"updated Health Policy in the News Pinterest board (teaching resource) with # EU # Brexit # Remain # NHS news https://uk.pinterest.com/kate8578/health-policy-in-the-news/ …";;;# # # #;"743166068236095488";https://twitter.com/ThomsonKate11/status/743166068236095488
ThomsonKate11;2016-06-15 21:30;0;0;"Great analysis of # Brexit and # Remain claims /rhetoric, by @ ijgreener : Brexit has more hold on emotion & big ideas https://t1ber1us.wordpress.com/2016/06/13/the-eu-referendum-debate-the-arguments-for-and-against/ …";;@;# #;"743163741206896640";https://twitter.com/ThomsonKate11/status/743163741206896640
tcgriffin;2016-06-15 21:26;2;1;"McGuinness: opponents of the peace process will see brexit as an opportunity. # irishin";;;#;"743162859413209088";https://twitter.com/tcgriffin/status/743162859413209088
tcgriffin;2016-06-15 21:22;2;2;"McGuinness: it's unimaginable what would happen to cross-border trade in event of Brexit. # Irishin";;;#;"743161839010328576";https://twitter.com/tcgriffin/status/743161839010328576
tcgriffin;2016-06-15 21:20;1;0;"McGuinness: Brexit would be hugely detrimental to the Good Friday Agreement. # irishin";;;#;"743161309366194176";https://twitter.com/tcgriffin/status/743161309366194176
tcgriffin;2016-06-15 21:18;1;0;"Eastwood: Brexit would be a carnival if reaction across Europe. # irishin";;;#;"743160801054367744";https://twitter.com/tcgriffin/status/743160801054367744
bikerbill40;2016-06-15 21:17;0;0;"will you please NOT talk about # brexit";;;#;"743160408836538368";https://twitter.com/bikerbill40/status/743160408836538368
GoreJess19;2016-06-15 21:11;0;1;"I've made my vote, had my say. # vote # eu # europe # brexit # politics # post # stay @Morley (Nr Leeds) https://www.instagram.com/p/BGr7e51GOtV/";;@Morley;# # # # # # #;"743159071860199424";https://twitter.com/GoreJess19/status/743159071860199424
tcgriffin;2016-06-15 21:06;0;0;"Kinahan: I'm very worried about the implications of Brexit for UK union.";;;;"743157748448256001";https://twitter.com/tcgriffin/status/743157748448256001
DailyCHESHIRE;2016-06-15 21:03;0;0;"EU Referendum: six arguments for and against Brexit http://j.mp/23aLV1X # Cheshirepic.twitter.com/ivOuf28OWW";;;#;"743156935415848960";https://twitter.com/DailyCHESHIRE/status/743156935415848960
tcgriffin;2016-06-15 20:56;1;0;"# Irishin O'Grady: Brexit would leave workers worse off.";;;#;"743155124906897408";https://twitter.com/tcgriffin/status/743155124906897408
